Filtered Pattern, Confidence-Frequence
Total number of input patterns: 2934
[[[['QuasiVuota_T0_1,Vuota_T0_0,Vuota_T0_1,Vuota_T0_3'], ['Vuota_T1_0']]], ['0.9375 - 15']]
[[[['QuasiVuota_T0_1,Vuota_T0_0'], ['Vuota_T1_1,Vuota_T1_3'], ['Vuota_T2_0']]], ['0.9375 - 15']]
[[[['QuasiVuota_T0_2,Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_3'], ['Vuota_T2_0']]], ['0.9375 - 15']]
[[[['QuasiVuota_T0_3,Vuota_T0_0,Vuota_T0_1,Vuota_T0_2'], ['Vuota_T1_0']]], ['0.9375 - 15']]
[[[['Vuota_T0_0'], ['Vuota_T1_1,Vuota_T1_0,Vuota_T1_2'], ['Vuota_T2_0']]], ['0.9357798165137615 - 102']]
[[[['Vuota_T0_0,Vuota_T0_1'], ['Vuota_T1_0,Vuota_T1_2'], ['Vuota_T2_0']]], ['0.9357798165137615 - 102']]
[[[['QuasiVuota_T0_1,Vuota_T0_0,Vuota_T0_3'], ['Vuota_T1_3'], ['Vuota_T2_0']]], ['0.9354838709677419 - 29']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1,QuasiVuota_T0_3,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.934156378600823 - 227']]
[[[['Vuota_T0_0,Vuota_T0_2'], ['Vuota_T1_1,Vuota_T1_2'], ['Vuota_T2_0']]], ['0.9339622641509434 - 99']]
[[[['Vuota_T0_0,Vuota_T0_2'], ['Vuota_T1_1,Vuota_T1_0'], ['Vuota_T2_0']]], ['0.9339622641509434 - 99']]
[[[['Vuota_T0_0,Vuota_T0_1,Vuota_T0_2'], ['Vuota_T1_0'], ['Vuota_T2_0']]], ['0.9333333333333333 - 98']]
[[[['Vuota_T0_0,Vuota_T0_1,Vuota_T0_2'], ['Vuota_T1_2'], ['Vuota_T2_0']]], ['0.9333333333333333 - 98']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2'], ['Vuota_T1_0,Vuota_T1_2'], ['Vuota_T2_0']]], ['0.9333333333333333 - 42']]
[[[['Vuota_T0_0,Vuota_T0_3'], ['QuasiVuota_T1_1,Vuota_T1_3'], ['Vuota_T2_0']]], ['0.9333333333333333 - 28']]
[[[['QuasiVuota_T0_0,Vuota_T0_2'], ['Vuota_T1_1,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.9333333333333333 - 14']]
[[[['Vuota_T0_0,Vuota_T0_2'], ['QuasiVuota_T1_3,Vuota_T1_1'], ['Vuota_T2_0']]], ['0.9333333333333333 - 14']]
[[[['QuasiVuota_T0_0,Vuota_T0_1,Vuota_T0_2,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.9333333333333333 - 14']]
[[[['Vuota_T0_0,Vuota_T0_1'], ['QuasiVuota_T1_3,Vuota_T1_2'], ['Vuota_T2_0']]], ['0.9333333333333333 - 14']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_1,Vuota_T1_1,Vuota_T1_3'], ['Vuota_T2_0']]], ['0.9333333333333333 - 14']]
[[[['QuasiVuota_T0_0'], ['Vuota_T1_1,Vuota_T1_2,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.9333333333333333 - 14']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_3,Vuota_T1_1,Vuota_T1_2'], ['Vuota_T2_0']]], ['0.9333333333333333 - 14']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_2,Vuota_T1_2,Vuota_T1_3'], ['Vuota_T2_0']]], ['0.9333333333333333 - 14']]
[[[['QuasiVuota_T0_3,Vuota_T0_0,Vuota_T0_2'], ['Vuota_T1_1'], ['Vuota_T2_0']]], ['0.9333333333333333 - 14']]
[[[['QuasiVuota_T0_3,Vuota_T0_0,Vuota_T0_1'], ['Vuota_T1_2'], ['Vuota_T2_0']]], ['0.9333333333333333 - 14']]
[[[['Vuota_T0_0,Vuota_T0_3'], ['QuasiVuota_T1_1,Vuota_T1_1'], ['Vuota_T2_0']]], ['0.9333333333333333 - 14']]
[[[['QuasiVuota_T0_0,Vuota_T0_1'], ['Vuota_T1_2,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.9333333333333333 - 14']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,Vuota_T0_1,Vuota_T0_2'], ['QuasiVuota_T1_0']]], ['0.9310344827586207 - 81']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3'], ['Vuota_T1_1,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.9310344827586207 - 27']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,Vuota_T0_1,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.9310344827586207 - 27']]
[[[['QuasiVuota_T0_1,Vuota_T0_0,Vuota_T0_1,Vuota_T0_2'], ['Vuota_T1_0']]], ['0.9285714285714286 - 91']]
[[[['QuasiVuota_T0_0,Vuota_T0_1,Vuota_T0_3'], ['Vuota_T1_2'], ['QuasiVuota_T2_0']]], ['0.9285714285714286 - 13']]
[[[['QuasiVuota_T0_0,Vuota_T0_3'], ['Vuota_T1_1,Vuota_T1_2'], ['QuasiVuota_T2_0']]], ['0.9285714285714286 - 13']]
[[[['QuasiVuota_T0_0,Vuota_T0_2,Vuota_T0_3'], ['Vuota_T1_1'], ['QuasiVuota_T2_0']]], ['0.9285714285714286 - 13']]
[[[['QuasiVuota_T0_0,Vuota_T0_1,Vuota_T0_1,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.926829268292683 - 38']]
