TIME SLOT: extraction/30min Pattern, Confidence-Frequence
Total number of input patterns: 29371
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1'], ['Normal_T1_0,Normal_T1_2'], ['Normal_T2_2']]], ['0.826797385620915 - 253']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['Normal_T1_0,Normal_T1_1'], ['Normal_T2_1']]], ['0.8267477203647416 - 544']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['QuasiPiena_T1_1,Normal_T1_1'], ['Normal_T2_1']]], ['0.8260869565217391 - 418']]
[[[['Normal_T0_0,QuasiPiena_T0_0,Normal_T0_3'], ['Normal_T1_2'], ['Normal_T2_2']]], ['0.8252427184466019 - 340']]
[[[['QuasiPiena_T0_0,Normal_T0_2,Normal_T0_2'], ['Normal_T1_0'], ['Normal_T2_2']]], ['0.8249336870026526 - 311']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], ['0.8247422680412371 - 160']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8237885462555066 - 187']]
[[[['QuasiPiena_T0_0,Normal_T0_2,Normal_T0_2,Normal_T0_2'], ['Normal_T1_2']]], ['0.8223938223938224 - 213']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['Normal_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.8222996515679443 - 944']]
[[[['QuasiPiena_T0_0,Normal_T0_2'], ['Normal_T1_0,Normal_T1_2'], ['Normal_T2_2']]], ['0.822 - 822']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['QuasiPiena_T1_0,Normal_T1_2'], ['Normal_T2_2']]], ['0.8211382113821138 - 606']]
[[[['Normal_T0_0,QuasiPiena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_2'], ['Normal_T2_2']]], ['0.8207547169811321 - 348']]
[[[['Normal_T0_0'], ['Normal_T1_2,Normal_T1_2,QuasiPiena_T1_2'], ['Normal_T2_2']]], ['0.8201754385964912 - 561']]
[[[['Normal_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_2'], ['Normal_T1_2'], ['Normal_T2_2']]], ['0.820097244732577 - 506']]
[[[['Normal_T0_0'], ['Normal_T1_0,QuasiPiena_T1_0,Normal_T1_2'], ['Normal_T2_0']]], ['0.8200636942675159 - 515']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0,Normal_T1_2'], ['Normal_T2_2']]], ['0.819683908045977 - 1141']]
[[[['Normal_T0_0,QuasiPiena_T0_0,QuasiPiena_T0_3'], ['Normal_T1_3'], ['Normal_T2_3']]], ['0.8191126279863481 - 480']]
[[[['Normal_T0_0,Normal_T0_1'], ['Normal_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.8190045248868778 - 181']]
[[[['QuasiPiena_T0_0,Normal_T0_1'], ['Normal_T1_0,QuasiPiena_T1_1'], ['Normal_T2_1']]], ['0.8189655172413793 - 285']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_3,Normal_T1_3,QuasiPiena_T1_1'], ['Normal_T2_3']]], ['0.8185483870967742 - 203']]
[[[['QuasiPiena_T0_0,Normal_T0_1'], ['Normal_T1_0,Normal_T1_2'], ['Normal_T2_2']]], ['0.8184143222506394 - 320']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_1,Normal_T1_1,Normal_T1_1'], ['Normal_T2_1']]], ['0.8181818181818182 - 81']]
[[[['QuasiPiena_T0_0,Normal_T0_1'], ['Normal_T1_0,QuasiPiena_T1_0'], ['Normal_T2_0']]], ['0.8175 - 327']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8168316831683168 - 165']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['Normal_T1_0,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.8163992869875223 - 916']]
[[[['Normal_T0_0,QuasiPiena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_2'], ['Normal_T1_2']]], ['0.8160377358490566 - 346']]
[[[['Normal_T0_0,QuasiPiena_T0_0,Normal_T0_2'], ['Normal_T1_3'], ['Normal_T2_3']]], ['0.8159203980099502 - 328']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.8158940397350993 - 1232']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0,QuasiPiena_T1_0,QuasiPiena_T1_1'], ['Normal_T2_0']]], ['0.8150470219435737 - 260']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0,QuasiPiena_T1_2,QuasiPiena_T1_1'], ['QuasiPiena_T2_2']]], ['0.8148148148148148 - 308']]
