Filtered Pattern, Confidence-Frequence
Total number of input patterns: 6322
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2'], ['Normal_T2_0,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.741732062780269 - 5293']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0,QuasiPiena_T1_0'], ['QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7412009385665529 - 13899']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_0,Normal_T1_1,QuasiPiena_T1_3'], ['Normal_T2_0']]], ['0.7410985371239305 - 2685']]
[[[['Normal_T0_0,QuasiPiena_T0_1'], ['QuasiPiena_T1_0,QuasiPiena_T1_3'], ['Normal_T2_0']]], ['0.7401875651267801 - 2131']]
[[[['Normal_T0_0,Normal_T0_1,Normal_T0_3'], ['QuasiPiena_T1_0'], ['Normal_T2_0']]], ['0.7396469789545146 - 2179']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_2'], ['Normal_T2_0,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7396300448430493 - 5278']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3'], ['QuasiPiena_T1_0,Normal_T1_1'], ['Normal_T2_0']]], ['0.7391914654688377 - 2633']]
[[[['Normal_T0_0'], ['Normal_T1_0'], ['QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7391499551032625 - 14817']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0'], ['QuasiPiena_T2_0,Normal_T2_3'], ['Normal_T3_0']]], ['0.7390162368672397 - 3095']]
[[[['QuasiPiena_T0_0,Normal_T0_3'], ['QuasiPiena_T1_0,Normal_T1_1'], ['Normal_T2_0']]], ['0.7385245901639345 - 2703']]
[[[['Normal_T0_0'], ['Normal_T1_0,QuasiPiena_T1_3'], ['QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7378565921356978 - 2871']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0'], ['QuasiPiena_T2_0,QuasiPiena_T2_1'], ['Normal_T3_0']]], ['0.7375518672199171 - 3555']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0'], ['QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7372820635299737 - 15435']]
[[[['Normal_T0_0'], ['Normal_T1_0,Normal_T1_3'], ['QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.736908676954212 - 2913']]
[[[['Normal_T0_0,QuasiPiena_T0_1'], ['Normal_T2_0,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7367941712204007 - 3236']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0'], ['QuasiPiena_T2_0,QuasiPiena_T2_3'], ['Normal_T3_0']]], ['0.7364848484848485 - 3038']]
[[[['Normal_T0_0,Normal_T0_1'], ['Normal_T2_0,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7357207615593835 - 3246']]
[[[['QuasiPiena_T0_0,Normal_T0_2'], ['Normal_T2_0,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7353932584269663 - 5236']]
[[[['Normal_T0_0,QuasiPiena_T0_0,Normal_T0_3,QuasiPiena_T0_3'], ['Normal_T1_0']]], ['0.7348513360933383 - 7810']]
[[[['Normal_T0_0,QuasiPiena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_3'], ['Normal_T1_0']]], ['0.7347100873709294 - 5550']]
