Filtered Pattern, Confidence-Frequence
Total number of input patterns: 3491
[[[['QuasiPiena_T0_1,Piena_T0_0,Piena_T0_2'], ['Piena_T1_3'], ['QuasiPiena_T2_0']]], ['0.7 - 7']]
[[[['Piena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_1,QuasiPiena_T1_3'], ['QuasiPiena_T2_0']]], ['0.6964285714285714 - 39']]
[[[['Piena_T0_0,Piena_T0_1,Piena_T0_3'], ['Piena_T1_0'], ['Piena_T2_0']]], ['0.6956521739130435 - 16']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_0,QuasiPiena_T1_1,Piena_T1_2'], ['QuasiPiena_T2_0']]], ['0.6949152542372882 - 123']]
[[[['Piena_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_3'], ['Piena_T1_1'], ['QuasiPiena_T2_0']]], ['0.6944444444444444 - 25']]
[[[['QuasiPiena_T0_1,Piena_T0_0'], ['Piena_T1_0,Piena_T1_3'], ['Piena_T2_0']]], ['0.6933333333333334 - 52']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_1,Piena_T1_0,Piena_T1_3'], ['Piena_T2_0']]], ['0.6923076923076923 - 54']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_2'], ['QuasiPiena_T2_0']]], ['0.6923076923076923 - 27']]
[[[['QuasiPiena_T0_0,Piena_T0_1'], ['Piena_T1_0,Piena_T1_3'], ['QuasiPiena_T2_0']]], ['0.6923076923076923 - 18']]
[[[['Piena_T0_0,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_2'], ['QuasiPiena_T2_0']]], ['0.6923076923076923 - 9']]
[[[['QuasiPiena_T0_2,Piena_T0_0,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T2_0']]], ['0.6923076923076923 - 9']]
