Filtered Pattern, Confidence-Frequence
Total number of input patterns: 3528
[[[['QuasiVuota_T0_0,Normal_T0_1,QuasiVuota_T0_3,QuasiVuota_T0_3'], ['Normal_T1_0']]], ['0.6672342983071221 - 6661']]
[[[['QuasiVuota_T0_0,Normal_T0_1'], ['QuasiVuota_T1_0,QuasiVuota_T1_3'], ['Normal_T2_0']]], ['0.6671580671580671 - 8146']]
[[[['Normal_T0_0'], ['Normal_T1_1,Normal_T1_1,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6671513137397446 - 6424']]
[[[['Normal_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3'], ['QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.66707113605339 - 4398']]
[[[['Normal_T0_0,QuasiVuota_T0_1,Normal_T0_3'], ['QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6670299187636219 - 6733']]
[[[['Normal_T0_0,QuasiVuota_T0_3'], ['QuasiVuota_T1_0,QuasiVuota_T1_3'], ['Normal_T2_0']]], ['0.6670049044478268 - 7888']]
[[[['QuasiVuota_T0_0'], ['Normal_T1_1,QuasiVuota_T1_0,Normal_T1_3'], ['Normal_T2_0']]], ['0.6668461124355918 - 8671']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1,QuasiVuota_T0_3,QuasiVuota_T0_3'], ['Normal_T1_0']]], ['0.6659606656580938 - 6603']]
[[[['Normal_T0_0,QuasiVuota_T0_0'], ['QuasiVuota_T1_0,QuasiVuota_T1_3'], ['Normal_T2_0']]], ['0.6659139026111504 - 9436']]
[[[['Normal_T0_0,QuasiVuota_T0_0,Normal_T0_1,QuasiVuota_T0_1'], ['Normal_T1_0']]], ['0.6658161638068508 - 20876']]
[[[['Normal_T0_0,Normal_T0_2,QuasiVuota_T0_3'], ['QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6658089150825932 - 8021']]
[[[['Normal_T0_0'], ['Normal_T1_2,QuasiVuota_T1_1,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6656037709690836 - 9602']]
[[[['Normal_T0_0,QuasiVuota_T0_0,Normal_T0_2,QuasiVuota_T0_2'], ['Normal_T1_0']]], ['0.6655756743915958 - 25216']]
[[[['Normal_T0_0,Normal_T0_3'], ['QuasiVuota_T1_0,QuasiVuota_T1_3'], ['Normal_T2_0']]], ['0.6653367971794396 - 7171']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_2,QuasiVuota_T1_0,QuasiVuota_T1_3'], ['Normal_T2_0']]], ['0.6651351711279797 - 9989']]
[[[['Normal_T0_0'], ['QuasiVuota_T1_0,Normal_T1_3,QuasiVuota_T1_3'], ['Normal_T2_0']]], ['0.6649468169550722 - 8377']]
[[[['QuasiVuota_T0_0'], ['Normal_T1_2,QuasiVuota_T1_0,QuasiVuota_T1_3'], ['Normal_T2_0']]], ['0.6646212721034573 - 10073']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3'], ['QuasiVuota_T1_1,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6644848484848485 - 8223']]
[[[['Normal_T0_0'], ['Normal_T1_2,Normal_T1_1,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6643107162089391 - 9869']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_0,Normal_T1_3,Normal_T1_3'], ['Normal_T2_0']]], ['0.6638173302107728 - 5669']]
[[[['Normal_T0_0'], ['QuasiVuota_T1_0,QuasiVuota_T1_3'], ['Normal_T2_0']]], ['0.6637369791666666 - 10195']]
[[[['Normal_T0_0,QuasiVuota_T0_0,Normal_T0_2'], ['Normal_T1_0']]], ['0.6634884771802982 - 29366']]
[[[['Normal_T0_0,Normal_T0_3'], ['QuasiVuota_T1_0,Normal_T1_3'], ['Normal_T2_0']]], ['0.6633614684913546 - 8095']]
[[[['Normal_T0_0,QuasiVuota_T0_3'], ['QuasiVuota_T1_0,Normal_T1_3'], ['Normal_T2_0']]], ['0.663097330989292 - 8298']]
[[[['Normal_T0_0,Normal_T0_2,Normal_T0_3'], ['QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6630868114880807 - 8150']]
[[[['QuasiVuota_T0_0,Normal_T0_1,Normal_T0_3,Normal_T0_3'], ['Normal_T1_0']]], ['0.6629483604192711 - 6894']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1'], ['QuasiVuota_T1_0,QuasiVuota_T1_3'], ['Normal_T2_0']]], ['0.6627859972511925 - 8198']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3'], ['Normal_T1_1,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6627251370399374 - 8463']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_2,QuasiVuota_T1_0,Normal_T1_3'], ['Normal_T2_0']]], ['0.6625822850811445 - 10166']]
[[[['Normal_T0_0,QuasiVuota_T0_0,Normal_T0_1'], ['Normal_T1_0']]], ['0.6623444800251982 - 25234']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2'], ['QuasiVuota_T1_0,QuasiVuota_T1_3'], ['Normal_T2_0']]], ['0.6622388358587544 - 9921']]
[[[['Normal_T0_0,QuasiVuota_T0_0'], ['QuasiVuota_T1_0,Normal_T1_3'], ['Normal_T2_0']]], ['0.6621676891615542 - 9714']]
[[[['Normal_T0_0'], ['QuasiVuota_T1_2,QuasiVuota_T1_1,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6621507197290432 - 9384']]
[[[['QuasiVuota_T0_0,Normal_T0_1'], ['QuasiVuota_T1_0,Normal_T1_3'], ['Normal_T2_0']]], ['0.6619696134771313 - 8409']]
[[[['Normal_T0_0,Normal_T0_3,QuasiVuota_T0_3'], ['QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.661926713024455 - 8472']]
[[[['Normal_T0_0,QuasiVuota_T0_0,QuasiVuota_T0_3'], ['QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6618116243584409 - 9542']]
[[[['Normal_T0_0,Normal_T0_2'], ['QuasiVuota_T1_0,Normal_T1_3'], ['Normal_T2_0']]], ['0.6617840684660962 - 8042']]
[[[['Normal_T0_0'], ['QuasiVuota_T1_1,QuasiVuota_T1_1,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6617806731813246 - 6095']]
[[[['Normal_T0_0,QuasiVuota_T0_0,QuasiVuota_T0_2'], ['Normal_T1_0']]], ['0.6616803560776396 - 28840']]
[[[['Normal_T0_0,QuasiVuota_T0_0,QuasiVuota_T0_1,QuasiVuota_T0_1'], ['Normal_T1_0']]], ['0.6616646874662636 - 12258']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3'], ['QuasiVuota_T1_2,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6614312939475586 - 10065']]
[[[['Normal_T0_0'], ['QuasiVuota_T1_2,Normal_T1_1,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6613869568211556 - 9604']]
