Pattern, Confidence-Frequence
Total number of input patterns: 21851
[[[['QuasiPiena_T0_0'], ['Piena_T1_2,Piena_T1_2,Piena_T1_2'], ['Piena_T2_2']]], ['0.9577464788732394 - 408']]
[[[['QuasiPiena_T0_0,Piena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9561538461538461 - 2486']]
[[[['Piena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_3,QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9556509298998569 - 668']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_2,Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9553990610328639 - 407']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_3']]], ['0.9536842105263158 - 906']]
[[[['Piena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_1,QuasiPiena_T1_1'], ['QuasiPiena_T2_1']]], ['0.9531693472090823 - 2015']]
[[[['Piena_T0_0'], ['Piena_T1_1,Piena_T1_1,Piena_T1_1'], ['QuasiPiena_T2_1']]], ['0.9530201342281879 - 142']]
[[[['Piena_T0_0,Piena_T0_1'], ['Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9527272727272728 - 262']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3,Piena_T1_2'], ['QuasiPiena_T2_3']]], ['0.9525745257452575 - 703']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_0,QuasiPiena_T1_3,QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9506863243518048 - 1870']]
[[[['QuasiPiena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_3,QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9506172839506173 - 924']]
[[[['QuasiPiena_T0_1,Piena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9498456790123457 - 1231']]
[[[['QuasiPiena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_3,QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9496813149949681 - 2831']]
[[[['Piena_T0_0'], ['Piena_T1_2,Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['0.9496402877697842 - 132']]
[[[['Piena_T0_0'], ['Piena_T1_2,Piena_T1_2,Piena_T1_1'], ['QuasiPiena_T2_2']]], ['0.9490909090909091 - 261']]
[[[['QuasiPiena_T0_1,Piena_T0_0'], ['Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['0.9473684210526315 - 126']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9473352254809209 - 3004']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_1,Piena_T1_1,Piena_T1_1'], ['QuasiPiena_T2_1']]], ['0.9447004608294931 - 205']]
[[[['Piena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_3,QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9444933920704845 - 1072']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_1,Piena_T1_1'], ['Piena_T2_1']]], ['0.9425837320574163 - 197']]
[[[['QuasiPiena_T0_3,Piena_T0_0'], ['Piena_T1_1,Piena_T1_1'], ['Piena_T2_1']]], ['0.9423076923076923 - 196']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_1,Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9411764705882353 - 80']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9383617193836172 - 1157']]
[[[['Piena_T0_0'], ['Piena_T1_2,Piena_T1_2,Piena_T1_2'], ['Piena_T2_2']]], ['0.9375 - 180']]
[[[['Piena_T0_0,Piena_T0_2'], ['Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['0.936 - 117']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_0,Piena_T1_1,Piena_T1_1'], ['QuasiPiena_T2_1']]], ['0.935672514619883 - 480']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9344477220583415 - 2851']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_3']]], ['0.9334975369458128 - 379']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_2,Piena_T1_2'], ['Piena_T2_2']]], ['0.9329758713136729 - 348']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_0,Piena_T1_1,Piena_T1_1'], ['QuasiPiena_T2_1']]], ['0.9314420803782506 - 394']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2'], ['Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9312875250166778 - 2792']]
[[[['Piena_T0_0'], ['Piena_T1_0,Piena_T1_1,Piena_T1_1'], ['Piena_T2_1']]], ['0.9307228915662651 - 618']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_1,Piena_T1_1'], ['Piena_T2_1']]], ['0.9305210918114144 - 375']]
[[[['QuasiPiena_T0_3,Piena_T0_0'], ['Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['0.9301675977653632 - 333']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_2,Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9299674267100977 - 1142']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2'], ['QuasiPiena_T1_2,Piena_T1_3'], ['QuasiPiena_T2_2']]], ['0.9299216851201728 - 6887']]
[[[['Piena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_3,QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9297820823244553 - 384']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_2']]], ['0.9297709923664123 - 609']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3'], ['Piena_T1_1,Piena_T1_1'], ['Piena_T2_1']]], ['0.9291139240506329 - 367']]
[[[['Piena_T0_0'], ['Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['0.9282296650717703 - 388']]
[[[['QuasiPiena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_2,Piena_T1_3'], ['QuasiPiena_T2_2']]], ['0.9281024819855884 - 5796']]
[[[['Piena_T0_0,Piena_T0_3'], ['Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['0.9278074866310161 - 347']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2'], ['QuasiPiena_T1_0,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9260769013194017 - 55660']]
[[[['QuasiPiena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_0,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9257707273271476 - 6186']]
[[[['QuasiPiena_T0_2,Piena_T0_0'], ['Piena_T1_1,Piena_T1_1'], ['Piena_T2_1']]], ['0.924953095684803 - 493']]
[[[['QuasiPiena_T0_2,Piena_T0_0'], ['QuasiPiena_T1_2,Piena_T1_0'], ['QuasiPiena_T2_2']]], ['0.9246161005118659 - 13909']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_0,Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['0.9244444444444444 - 208']]
[[[['QuasiPiena_T0_2,Piena_T0_0'], ['Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9244186046511628 - 1113']]
[[[['Piena_T0_0,Piena_T0_3'], ['Piena_T1_1,Piena_T1_1'], ['QuasiPiena_T2_1']]], ['0.9242424242424242 - 61']]
