Pattern, Confidence-Frequence
Total number of input patterns: 19243
[[[['Normal_T0_0,Normal_T0_2'], ['QuasiVuota_T1_2,QuasiVuota_T1_2'], ['QuasiVuota_T2_2']]], ['0.8189521009856476 - 4736']]
[[[['Normal_T0_0,QuasiVuota_T0_0,Normal_T0_2,Normal_T0_2'], ['Normal_T1_2']]], ['0.818545697131421 - 4908']]
[[[['QuasiVuota_T0_0'], ['Normal_T1_3,Normal_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.8184922511163646 - 3116']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1'], ['Normal_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.8183079056865464 - 1770']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3'], ['QuasiVuota_T1_2,QuasiVuota_T1_2'], ['QuasiVuota_T2_2']]], ['0.8182057353328072 - 3110']]
[[[['Normal_T0_0'], ['Normal_T1_2,Normal_T1_2,Normal_T1_1'], ['Normal_T2_2']]], ['0.8180978762696214 - 1772']]
[[[['QuasiVuota_T0_0,Normal_T0_2'], ['QuasiVuota_T1_2,QuasiVuota_T1_2'], ['QuasiVuota_T2_2']]], ['0.8179923584577978 - 4710']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_3,QuasiVuota_T1_3,QuasiVuota_T1_1'], ['QuasiVuota_T2_3']]], ['0.8178861788617886 - 1509']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_2,QuasiVuota_T1_2,QuasiVuota_T1_1'], ['QuasiVuota_T2_2']]], ['0.817768803634528 - 1620']]
[[[['QuasiVuota_T0_0,Normal_T0_3'], ['QuasiVuota_T1_3,QuasiVuota_T1_3'], ['QuasiVuota_T2_3']]], ['0.8176045157876168 - 4635']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3,Normal_T0_1'], ['QuasiVuota_T1_3']]], ['0.8175303197353914 - 1483']]
[[[['QuasiVuota_T0_0,Normal_T0_1'], ['Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8174837566450088 - 1384']]
[[[['QuasiVuota_T0_0,Normal_T0_3'], ['QuasiVuota_T1_2,QuasiVuota_T1_2'], ['QuasiVuota_T2_2']]], ['0.8174470457079153 - 2933']]
[[[['Normal_T0_0,QuasiVuota_T0_0'], ['QuasiVuota_T1_3,QuasiVuota_T1_3'], ['QuasiVuota_T2_3']]], ['0.8171021377672208 - 4816']]
[[[['Normal_T0_0,Normal_T0_3'], ['QuasiVuota_T1_2,QuasiVuota_T1_2'], ['QuasiVuota_T2_2']]], ['0.816824576514499 - 2845']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2'], ['Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8166488222698073 - 3051']]
[[[['Normal_T0_0'], ['QuasiVuota_T1_3,QuasiVuota_T1_3'], ['QuasiVuota_T2_3']]], ['0.8164196123147093 - 6444']]
[[[['Normal_T0_0,Normal_T0_3,QuasiVuota_T0_2,QuasiVuota_T0_2'], ['QuasiVuota_T1_2']]], ['0.8163479172124706 - 3116']]
[[[['QuasiVuota_T0_0'], ['Normal_T1_2,QuasiVuota_T1_2,QuasiVuota_T1_2'], ['QuasiVuota_T2_2']]], ['0.816317689530686 - 5653']]
[[[['Normal_T0_0'], ['Normal_T1_0,Normal_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.8161816891412349 - 3450']]
[[[['Normal_T0_0,Normal_T0_3'], ['Normal_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.8160980810234542 - 3062']]
[[[['Normal_T0_0'], ['Normal_T1_2,QuasiVuota_T1_2,QuasiVuota_T1_2'], ['QuasiVuota_T2_2']]], ['0.816028880866426 - 5651']]
[[[['QuasiVuota_T0_0'], ['Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8159409409409409 - 6521']]
[[[['Normal_T0_0,Normal_T0_2'], ['QuasiVuota_T1_3,QuasiVuota_T1_3'], ['QuasiVuota_T2_3']]], ['0.8156718380226137 - 3102']]
[[[['QuasiVuota_T0_0,Normal_T0_3'], ['QuasiVuota_T1_3,QuasiVuota_T1_3'], ['Normal_T2_3']]], ['0.8156641382959957 - 4624']]
[[[['Normal_T0_0'], ['QuasiVuota_T1_2,QuasiVuota_T1_2,QuasiVuota_T1_1'], ['QuasiVuota_T2_2']]], ['0.8154084798345398 - 1577']]
[[[['Normal_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3,QuasiVuota_T0_1'], ['QuasiVuota_T1_3']]], ['0.8152295632698768 - 1456']]
[[[['QuasiVuota_T0_0,Normal_T0_1'], ['Normal_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.8152173913043478 - 1725']]
[[[['Normal_T0_0,Normal_T0_1'], ['Normal_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.8150926743159753 - 1847']]
[[[['QuasiVuota_T0_0,Normal_T0_3,Normal_T0_3'], ['Normal_T1_3']]], ['0.8150762637085592 - 6466']]
[[[['QuasiVuota_T0_0,Normal_T0_2'], ['QuasiVuota_T1_3,QuasiVuota_T1_3'], ['QuasiVuota_T2_3']]], ['0.8150215681299162 - 3212']]
[[[['QuasiVuota_T0_0'], ['Normal_T1_0,Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8149484536082474 - 3162']]
[[[['Normal_T0_0,QuasiVuota_T0_0,Normal_T0_3,Normal_T0_3'], ['Normal_T1_3']]], ['0.814788482047636 - 4584']]
[[[['Normal_T0_0,Normal_T0_2,Normal_T0_3,Normal_T0_3'], ['Normal_T1_3']]], ['0.8147842813959879 - 2965']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1'], ['QuasiVuota_T1_2,QuasiVuota_T1_2'], ['QuasiVuota_T2_2']]], ['0.8147590361445783 - 1623']]
[[[['Normal_T0_0,Normal_T0_2,Normal_T0_2'], ['Normal_T1_2']]], ['0.8146306818181818 - 6882']]
[[[['QuasiVuota_T0_0,Normal_T0_2'], ['Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8146143437077131 - 3010']]
[[[['Normal_T0_0'], ['Normal_T1_3,QuasiVuota_T1_3,QuasiVuota_T1_3'], ['QuasiVuota_T2_3']]], ['0.8144480046606467 - 5592']]
[[[['Normal_T0_0,QuasiVuota_T0_1'], ['Normal_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.8143261074458058 - 1728']]
[[[['QuasiVuota_T0_0,Normal_T0_2'], ['QuasiVuota_T1_2,QuasiVuota_T1_2'], ['Normal_T2_2']]], ['0.8141715873567211 - 4688']]
[[[['Normal_T0_0,QuasiVuota_T0_2,QuasiVuota_T0_2,Normal_T0_1'], ['Normal_T1_2']]], ['0.8138323069635244 - 1718']]
[[[['Normal_T0_0,Normal_T0_2'], ['QuasiVuota_T1_2,QuasiVuota_T1_2'], ['Normal_T2_2']]], ['0.8137644821027149 - 4706']]
[[[['Normal_T0_0'], ['QuasiVuota_T1_2,QuasiVuota_T1_2,Normal_T1_1'], ['Normal_T2_2']]], ['0.8134479271991911 - 1609']]
[[[['Normal_T0_0,Normal_T0_3,Normal_T0_3'], ['Normal_T1_3']]], ['0.8132763975155279 - 6285']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_3,QuasiVuota_T1_3'], ['QuasiVuota_T2_3']]], ['0.8131127450980392 - 6635']]
[[[['QuasiVuota_T0_0'], ['Normal_T1_2,Normal_T1_2,Normal_T1_1'], ['Normal_T2_2']]], ['0.8130885122410546 - 1727']]
[[[['Normal_T0_0,QuasiVuota_T0_3'], ['QuasiVuota_T1_3,QuasiVuota_T1_3'], ['Normal_T2_3']]], ['0.8124042879019908 - 5305']]
[[[['Normal_T0_0'], ['Normal_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.8122488737367588 - 6671']]
[[[['Normal_T0_0,QuasiVuota_T0_3'], ['Normal_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.8121720881427072 - 3096']]
[[[['Normal_T0_0,Normal_T0_3,QuasiVuota_T0_2,QuasiVuota_T0_2'], ['Normal_T1_2']]], ['0.8121561435682473 - 3100']]
