Pattern, Confidence-Frequence
Total number of input patterns: 29408
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1,QuasiPiena_T0_3,QuasiPiena_T0_3'], ['Normal_T1_3']]], ['0.8364116094986808 - 317']]
[[[['Normal_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_3,Normal_T0_3'], ['Normal_T1_3']]], ['0.8357771260997068 - 1140']]
[[[['Normal_T0_0,QuasiPiena_T0_2'], ['Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8350694444444444 - 481']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,Normal_T1_3'], ['QuasiPiena_T2_2']]], ['0.834920634920635 - 1052']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.8348354642632572 - 3983']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.8348 - 4174']]
[[[['QuasiPiena_T0_0,Normal_T0_2,QuasiPiena_T0_1,QuasiPiena_T0_1'], ['QuasiPiena_T1_1']]], ['0.8347031963470319 - 914']]
[[[['Normal_T0_0,Normal_T0_1'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.8341523341523341 - 1358']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,Normal_T1_1'], ['QuasiPiena_T2_2']]], ['0.8333333333333334 - 1335']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,Normal_T1_3'], ['Normal_T2_2']]], ['0.8333333333333334 - 1050']]
[[[['Normal_T0_0'], ['Normal_T1_0,Normal_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.8332251784555483 - 2568']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8330733229329174 - 1068']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8327598072952512 - 1210']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8326330532212886 - 1189']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1,QuasiPiena_T0_1,Normal_T0_3'], ['QuasiPiena_T1_1']]], ['0.8325242718446602 - 343']]
[[[['Normal_T0_0,QuasiPiena_T0_3'], ['Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8322392414296135 - 1141']]
[[[['Normal_T0_0,Normal_T0_1,Normal_T0_1,QuasiPiena_T0_1'], ['Normal_T1_1']]], ['0.8321067157313707 - 1809']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_0,QuasiPiena_T1_1,QuasiPiena_T1_1'], ['QuasiPiena_T2_1']]], ['0.8317214700193424 - 860']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_3,Normal_T0_3'], ['Normal_T1_3']]], ['0.8314685314685315 - 1189']]
[[[['Normal_T0_0'], ['Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8309941520467836 - 1421']]
[[[['Normal_T0_0'], ['Normal_T1_2,Normal_T1_2,Normal_T1_3'], ['Normal_T2_2']]], ['0.830550918196995 - 995']]
[[[['Normal_T0_0,QuasiPiena_T0_0,QuasiPiena_T0_1,QuasiPiena_T0_1'], ['QuasiPiena_T1_1']]], ['0.8304033092037229 - 1606']]
[[[['Normal_T0_0,QuasiPiena_T0_1'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.8304020100502513 - 1322']]
[[[['Normal_T0_0,Normal_T0_2'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['Normal_T2_2']]], ['0.830060606060606 - 3424']]
[[[['Normal_T0_0'], ['Normal_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.8298208640674394 - 4725']]
[[[['Normal_T0_0,QuasiPiena_T0_2'], ['Normal_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.8292990949273837 - 3940']]
[[[['Normal_T0_0,QuasiPiena_T0_2'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.8292682926829268 - 3978']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1,QuasiPiena_T0_1'], ['QuasiPiena_T1_1']]], ['0.8291775213993301 - 2228']]
[[[['Normal_T0_0,Normal_T0_1'], ['Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8289156626506025 - 344']]
[[[['Normal_T0_0,QuasiPiena_T0_1'], ['Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8285714285714286 - 319']]
[[[['QuasiPiena_T0_0,Normal_T0_1,Normal_T0_1,QuasiPiena_T0_1'], ['Normal_T1_1']]], ['0.8284132841328413 - 1796']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.8278630039243667 - 4641']]
[[[['Normal_T0_0'], ['Normal_T1_2,Normal_T1_2,QuasiPiena_T1_3'], ['Normal_T2_2']]], ['0.8276785714285714 - 927']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['Normal_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.8276524243879021 - 3448']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_1,Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8275862068965517 - 336']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,QuasiPiena_T1_3'], ['QuasiPiena_T2_2']]], ['0.8275584206285254 - 1027']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1'], ['Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8274111675126904 - 326']]
[[[['Normal_T0_0,QuasiPiena_T0_2'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['Normal_T2_2']]], ['0.8271836564519491 - 3968']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8270676691729323 - 550']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,QuasiPiena_T1_3'], ['QuasiPiena_T2_2']]], ['0.8268109908409659 - 993']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2'], ['Normal_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.8267868641339343 - 3852']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.825925925925926 - 1338']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8258394991462721 - 1451']]
[[[['Normal_T0_0'], ['Normal_T1_1,QuasiPiena_T1_1,QuasiPiena_T1_1'], ['Normal_T2_1']]], ['0.8252723311546841 - 1894']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_0,Normal_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.8250524842547236 - 2358']]
[[[['QuasiPiena_T0_0,Normal_T0_1,QuasiPiena_T0_1,QuasiPiena_T0_1'], ['QuasiPiena_T1_1']]], ['0.824773413897281 - 1911']]
[[[['QuasiPiena_T0_0,Normal_T0_2,Normal_T0_2'], ['Normal_T1_2']]], ['0.824767161090031 - 4782']]
[[[['Normal_T0_0,QuasiPiena_T0_1'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['Normal_T2_2']]], ['0.824748743718593 - 1313']]
[[[['Normal_T0_0,QuasiPiena_T0_1,QuasiPiena_T0_3,QuasiPiena_T0_3'], ['Normal_T1_3']]], ['0.8246575342465754 - 301']]
[[[['Normal_T0_0,Normal_T0_1,QuasiPiena_T0_1,QuasiPiena_T0_1'], ['Normal_T1_1']]], ['0.8246550956831331 - 1853']]
[[[['Normal_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_2,Normal_T0_3'], ['Normal_T1_2']]], ['0.8245149911816578 - 935']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3'], ['Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8243148278285313 - 1173']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,Normal_T1_3'], ['Normal_T2_2']]], ['0.8236775818639799 - 981']]
[[[['Normal_T0_0,QuasiPiena_T0_0,Normal_T0_2,Normal_T0_2'], ['Normal_T1_2']]], ['0.8231197771587744 - 3546']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_3,QuasiPiena_T1_3'], ['Normal_T2_3']]], ['0.8229166666666666 - 316']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_1,QuasiPiena_T0_1'], ['QuasiPiena_T1_1']]], ['0.8228070175438597 - 938']]
[[[['QuasiPiena_T0_0,Normal_T0_3'], ['Normal_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.8227513227513228 - 933']]
[[[['QuasiPiena_T0_0,Normal_T0_1,QuasiPiena_T0_1,QuasiPiena_T0_1'], ['Normal_T1_1']]], ['0.8226154510142426 - 1906']]
