Filtered Pattern, Confidence-Frequence
Total number of input patterns: 13485
[[[['Vuota_T0_0,Vuota_T0_1,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.612479769825571 - 3406']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_1,QuasiVuota_T1_3,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6124273580688422 - 5480']]
[[[['Vuota_T0_0'], ['Vuota_T2_2,Vuota_T2_3,Vuota_T2_0'], ['QuasiVuota_T3_0']]], ['0.6119673617407072 - 1350']]
[[[['Vuota_T0_0'], ['QuasiVuota_T2_0,Vuota_T2_3,Vuota_T2_0'], ['QuasiVuota_T3_0']]], ['0.611954459203036 - 1935']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1'], ['QuasiVuota_T1_3,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6116081670107822 - 5332']]
[[[['QuasiVuota_T0_2,QuasiVuota_T0_1,Vuota_T0_0,QuasiVuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6115861106264178 - 7010']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1,QuasiVuota_T0_3,QuasiVuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6114381833473507 - 5089']]
[[[['Vuota_T0_0'], ['QuasiVuota_T2_1,Vuota_T2_3,Vuota_T2_0'], ['QuasiVuota_T3_0']]], ['0.6114217252396166 - 1531']]
[[[['QuasiVuota_T0_0,Vuota_T0_2,Vuota_T0_3'], ['Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.611148878314072 - 2697']]
[[[['Vuota_T0_0'], ['Vuota_T1_0,Vuota_T1_3,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.6110815130527437 - 1147']]
[[[['QuasiVuota_T0_1,Vuota_T0_0,QuasiVuota_T0_3,Vuota_T0_2'], ['QuasiVuota_T1_0']]], ['0.6110192136404122 - 4802']]
[[[['Vuota_T0_0'], ['QuasiVuota_T2_2,Vuota_T2_3,Vuota_T2_0'], ['QuasiVuota_T3_0']]], ['0.6109324758842444 - 1900']]
[[[['QuasiVuota_T0_0'], ['Vuota_T2_3,Vuota_T2_3,Vuota_T2_0'], ['QuasiVuota_T3_0']]], ['0.6108726752503576 - 854']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_3'], ['Vuota_T2_1,Vuota_T2_0'], ['QuasiVuota_T3_0']]], ['0.610784009916331 - 1971']]
[[[['QuasiVuota_T0_2,QuasiVuota_T0_2,Vuota_T0_0,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6106781628254021 - 3683']]
[[[['Vuota_T0_0,Vuota_T0_3,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6105610561056105 - 2035']]
[[[['Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_0,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.6105450840550178 - 2397']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_3,QuasiVuota_T1_3'], ['Vuota_T2_0'], ['QuasiVuota_T3_0']]], ['0.6104895104895105 - 1746']]
