Filtered Pattern, Confidence-Frequence
Total number of input patterns: 3542
[[[['Vuota_T0_0,Vuota_T0_2,Vuota_T0_1,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6128531511952809 - 1974']]
[[[['Vuota_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6127269805560019 - 3813']]
[[[['QuasiVuota_T0_0,Vuota_T0_1'], ['Vuota_T1_0,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.6126398548533414 - 2026']]
[[[['Vuota_T0_0,Vuota_T0_2,Vuota_T0_3'], ['Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6126373626373627 - 2453']]
[[[['Vuota_T0_0,Vuota_T0_3,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6126315789473684 - 2037']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_2,Vuota_T1_0,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.612565445026178 - 3510']]
[[[['Vuota_T0_0,QuasiVuota_T0_3,Vuota_T0_2,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.6124656278643447 - 3341']]
[[[['QuasiVuota_T0_1,Vuota_T0_0,Vuota_T0_2,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6123828210159146 - 2809']]
[[[['QuasiVuota_T0_2,QuasiVuota_T0_1,Vuota_T0_0,QuasiVuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.612370775779689 - 7049']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_3,Vuota_T1_0,Vuota_T1_1'], ['QuasiVuota_T2_0']]], ['0.6122485957601015 - 3379']]
[[[['Vuota_T0_0,Vuota_T0_2'], ['Vuota_T1_0,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.612031608462911 - 2401']]
[[[['Vuota_T0_0,Vuota_T0_3'], ['QuasiVuota_T1_2,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6117931869272004 - 3538']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_1,Vuota_T1_0,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.6117136659436009 - 2820']]
[[[['QuasiVuota_T0_1,Vuota_T0_0,Vuota_T0_3'], ['Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6116588084012001 - 2854']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3'], ['Vuota_T1_0,Vuota_T1_1'], ['QuasiVuota_T2_0']]], ['0.6111992385786802 - 3853']]
[[[['Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_0,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.6111111111111112 - 2409']]
[[[['QuasiVuota_T0_0,Vuota_T0_1,Vuota_T0_3,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6108502869066249 - 1171']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,QuasiVuota_T0_3,QuasiVuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.610613810741688 - 6685']]
[[[['QuasiVuota_T0_1,Vuota_T0_0'], ['Vuota_T1_0,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.6105378704720088 - 2781']]
[[[['Vuota_T0_0,Vuota_T0_3'], ['Vuota_T1_2,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6102382159148505 - 2408']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,Vuota_T0_2'], ['Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6102054340622929 - 4604']]
[[[['QuasiVuota_T0_0'], ['Vuota_T1_0,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.6101716146811975 - 4871']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3'], ['Vuota_T1_0,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.6101396032329169 - 4152']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,QuasiVuota_T0_3'], ['Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6099791723263606 - 6736']]
[[[['Vuota_T0_0,QuasiVuota_T0_3'], ['Vuota_T1_0,Vuota_T1_1'], ['QuasiVuota_T2_0']]], ['0.6096757412866308 - 3516']]
[[[['QuasiVuota_T0_1,Vuota_T0_0,QuasiVuota_T0_3,Vuota_T0_2'], ['QuasiVuota_T1_0']]], ['0.6096696620680927 - 4817']]
[[[['QuasiVuota_T0_0,Vuota_T0_2'], ['QuasiVuota_T1_3,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6093835993395708 - 4429']]
