Filtered Pattern, Confidence-Frequence
Total number of input patterns: 3542
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,QuasiVuota_T0_2,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.6256444285641366 - 12257']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1,QuasiVuota_T0_3,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.6252827749649897 - 11609']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_3,QuasiVuota_T1_3,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.625117528542646 - 4654']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,QuasiVuota_T0_2,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6250437951089622 - 8920']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_1,QuasiVuota_T1_3,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.625033768572715 - 6941']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,Vuota_T0_2,Vuota_T0_2'], ['QuasiVuota_T1_0']]], ['0.6249307479224376 - 10152']]
[[[['QuasiVuota_T0_0,Vuota_T0_2,Vuota_T0_2'], ['QuasiVuota_T1_0']]], ['0.6248237817958934 - 10194']]
[[[['QuasiVuota_T0_0'], ['Vuota_T1_2,Vuota_T1_0,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.6245938921377517 - 3845']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1,Vuota_T0_0'], ['QuasiVuota_T1_0']]], ['0.6245578575037898 - 17304']]
[[[['QuasiVuota_T0_0,Vuota_T0_3'], ['Vuota_T1_2,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6245053031502296 - 3945']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,Vuota_T0_3,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6243601324902138 - 4147']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,QuasiVuota_T0_2,QuasiVuota_T0_2'], ['QuasiVuota_T1_0']]], ['0.6243583101775538 - 13257']]
[[[['QuasiVuota_T0_0,Vuota_T0_3'], ['QuasiVuota_T1_3,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6242860690340204 - 5028']]
[[[['QuasiVuota_T0_0,Vuota_T0_1,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6242004731446597 - 7124']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.624177545691906 - 11953']]
